iter	RMSE
0	1969799.323
1	1932636.549
2	1899778.691
3	1873592.591
4	1852510.127
5	1813564.283
6	1771531.651
7	1743468.946
8	1714503.727
9	1690227.659
10	1659375.684
11	1629954.335
12	1601387.024
13	1565888.459
14	1539186.181
15	1515912.002
16	1491895.537
17	1468573.687
18	1451906.491
19	1428711.413
20	1400471.766
21	1372647.136
22	1365507.453
23	1349096.642
24	1330831.274
25	1307602.494
26	1285634.261
27	1264768.443
28	1236616.724
29	1216914.755
30	1198031.589
31	1179452.162
32	1163442.583
33	1148315.34
34	1131184.012
35	1114794.829
36	1098022.717
37	1082880.128
38	1068904.216
39	1051012.945
40	1032986.502
41	1018755.979
42	1003017.67
43	992696.2546
44	981985.5645
45	975103.2242
46	958540.6924
47	949020.8181
48	937185.8991
49	920516.4185
50	909557.4582
51	900298.0752
52	886021.6111
53	872663.3581
54	856448.9295
55	843623.8572
56	837328.772
57	829037.8086
58	818758.6293
59	803211.7109
60	790087.1055
61	777067.4093
62	763128.985
63	750301.2733
64	739892.547
65	729464.2114
66	722512.179
67	712142.5487
68	701990.5684
69	693760.5846
70	682363.32
71	672862.3048
72	664171.2174
73	655796.2041
74	649015.1122
75	640008.0345
76	632439.2202
77	625936.4189
78	616942.6369
79	614707.691
80	611062.5875
81	603667.9322
82	599505.8454
83	593650.803
84	585739.4583
85	577805.6297
86	572098.185
87	564761.0713
88	558304.3938
89	552752.6293
90	547245.0286
91	541967.0865
92	534951.0921
93	528968.3312
94	522577.6401
95	516470.1545
96	511559.7874
97	510084.3213
98	504351.5942
99	497633.449
100	495570.502
101	491544.4845
102	488186.2865
103	481470.4771
104	476484.1957
105	471991.9211
106	467767.4125
107	464841.1757
108	460102.513
109	457245.164
110	451337.7745
111	447008.9463
112	442080.7482
113	437345.2493
114	434376.3351
115	430226.4017
116	427284.1829
117	421601.502
118	418164.769
119	414838.069
120	410696.0632
121	406281.2248
122	404107.3518
123	401558.006
124	398957.0079
125	394720.3455
126	391176.5731
127	389473.1109
128	386605.4475
129	384317.0468
130	382830.7784
131	381428.1297
132	377577.5943
133	374286.8061
134	371808.6932
135	369411.7485
136	367025.9282
137	364716.5783
138	361133.6549
139	358858.3314
140	356691.4782
141	353309.9527
142	351811.6842
143	348359.8183
144	345178.1738
145	343093.853
146	339553.3605
147	336749.3653
148	334899.7502
149	332013.3253
150	328260.9887
151	326185.1783
152	323688.6423
153	320765.4444
154	320189.4965
155	318073.3345
156	315458.9622
157	313472.9167
158	310498.3108
159	308044.8886
160	305160.4209
161	302426.5667
162	300985.3204
163	299273.7998
164	296428.3906
165	294102.3514
166	292441.8775
167	289599.9877
168	288182.6453
169	286676.8648
170	284240.6749
171	281947.9249
172	280624.2383
173	279749.1171
174	278203.2457
175	276385.8499
176	274295.0976
177	273182.2751
178	270880.6734
179	269870.557
180	269003.487
181	267286.5586
182	265087.1996
183	263066.1592
184	261573.0809
185	259740.3624
186	257788.6589
187	255520.5537
188	253546.2492
189	252196.3734
190	250587.6317
191	248478.2921
192	246430.3059
193	244268.8292
194	243109.8636
195	242305.2281
196	241382.781
197	239618.4623
198	238523.0666
199	238083.4625
200	237181.4593
201	235235.5333
202	233959.1321
203	232702.2824
204	231746.3605
205	231129.9132
206	229011.8737
207	228267.5384
208	226863.3951
209	225174.3822
210	223735.845
211	222765.3407
212	221620.1094
213	219857.6494
214	218440.531
215	217073.301
216	216726.0122
217	216163.9092
218	214719.3911
219	213723.9264
220	212711.2264
221	212287.2522
222	212062.3081
223	210290.2325
224	209337.1668
225	208970.6622
226	208654.0213
227	208431.9516
228	208210.5612
229	207156.0944
230	206960.8392
231	205107.9446
232	204929.3348
233	204059.5631
234	202579.2204
235	202360.1829
236	201665.8437
237	200774.2573
238	200159.6576
239	199396.4873
240	199241.1147
241	198396.5849
242	197761.6912
243	196742.4166
244	196444.0138
245	196301.6921
246	195899.9649
247	195003.636
248	193721.9042
249	192362.9639
250	191591.2472
251	190020.4545
252	189367.5633
253	188658.3117
254	187540.0798
255	187439.6091
256	186409.116
257	185472.6276
258	185335.9722
259	184058.9372
260	182992.7233
261	181946.636
262	180984.072
263	180655.3698
264	180519.2569
265	178884.1362
266	178127.6335
267	176762.3676
268	176305.3585
269	174946.9012
270	174482.9385
271	173451.5434
272	172727.995
273	171786.3665
274	170935.2231
275	169664.2539
276	169010.0574
277	168265.1746
278	167822.8766
279	167685.2312
280	167594.5328
281	166911.2426
282	166828.4149
283	166725.1702
284	166644.3127
285	166214.3985
286	165742.2941
287	165666.1405
288	165602.7683
289	164907.9715
290	164072.2185
291	163012.8682
292	162720.8108
293	162244.5886
294	161427.9175
295	161073.4087
296	159959.2458
297	159395.2596
298	158657.3325
299	158286.7843
300	157636.1013
301	157541.0419
302	157405.154
303	157347.1016
304	156315.218
305	155568.2269
306	155035.0892
307	154968.7274
308	154779.3036
309	154486.3673
310	154092.5428
311	153478.6726
312	152777.7121
313	152726.1503
314	152126.4199
315	152073.7465
316	150895.5471
317	150676.2449
318	150590.0606
319	150525.31
320	150473.9402
321	149552.8499
322	148518.6272
323	147917.5157
324	147345.5798
325	146898.9392
326	146842.4099
327	146791.3036
328	146452.0343
329	145647.3863
330	145317.0064
331	144597.4225
332	144413.9822
333	143470.2567
334	143213.5125
335	143164.4328
336	143114.6483
337	142514.2327
338	142433.9568
339	142364.8576
340	142002.2398
341	141377.5896
342	141321.9626
343	141272.8936
344	140853.0046
345	140632.2826
346	140082.7658
347	139785.4621
348	139741.0777
349	139487.9028
350	139443.7083
351	139150.5757
352	139106.5507
353	139056.2325
354	138998.0976
355	138952.0592
356	138880.8926
357	138840.0748
358	138798.3673
359	138717.9314
360	138300.3176
361	138255.3355
362	138216.2647
363	138171.063
364	138131.331
365	138092.5565
366	138050.74
367	138011.9528
368	137156.2096
369	136762.2511
370	136140.1383
371	136101.3909
372	136060.7885
373	135392.0293
374	135346.2669
375	135260.7939
376	134679.5899
377	134648.1074
378	134503.8337
379	134435.1811
380	134400.3458
381	133836.9638
382	133732.737
383	133670.0081
384	133211.8739
385	133139.5514
386	132572.9977
387	132541.8605
388	131731.9003
389	131682.3331
390	131644.417
391	131610.5108
392	131549.4885
393	131053.7654
394	131015.177
395	130534.6003
396	130473.7672
397	130443.4191
398	129995.1658
399	129365.2408
400	128956.816
401	128890.6996
402	128486.751
403	128453.1771
404	127753.2161
405	127715.1891
406	127658.6768
407	127266.5822
408	127218.259
409	127181.5676
410	127149.414
411	127095.6578
412	126730.1427
413	126686.9224
414	126651.1528
415	126618.9229
416	126574.8601
417	126531.4954
418	126082.3898
419	125692.1143
420	125359.602
421	125326.3971
422	124870.0002
423	124201.0527
424	124146.6711
425	124114.3541
426	124090.0984
427	124064.4668
428	123757.3103
429	123291.2231
430	122936.1204
431	122593.384
432	122564.1377
433	122519.0551
434	122252.8834
435	122223.3634
436	121525.1638
437	121483.7191
438	120944.1876
439	120541.6324
440	120105.8262
441	119592.2992
442	119415.4189
443	119136.7927
444	118877.4716
445	118836.0536
446	118373.9863
447	118305.4108
448	118250.912
449	117968.3294
450	117940.5293
451	117304.3596
452	117060.4438
453	117032.2018
454	116633.535
455	115986.6964
456	115958.7048
457	115430.5294
458	115363.4342
459	115065.4117
460	114711.9719
461	114648.8484
462	114344.7593
463	114043.1277
464	113779.3249
465	113747.8557
466	113706.0274
467	113642.3668
468	113614.814
469	113582.5871
470	113520.4373
471	113368.3781
472	113015.7761
473	112972.7316
474	112908.0401
475	112407.5271
476	112158.5173
477	112123.3701
478	112064.6265
479	111492.9068
480	111129.1811
481	111089.9505
482	110877.4371
483	110815.5818
484	110790.9499
485	110381.9882
486	110198.8137
487	109658.08
488	109401.0343
489	109072.2817
490	108745.8518
491	108696.9242
492	108672.3359
493	108631.7685
494	108352.0838
495	108332.2892
496	107961.9162
497	107928.384
498	107668.1825
499	107315.0215
500	107092.2748
501	107058.0792
502	106997.7808
503	106876.3885
504	106833.5283
505	106808.9364
506	106658.2111
507	106638.6775
508	106041.0096
509	105527.2581
510	105156.0659
511	105134.6509
512	104754.6477
513	104731.6349
514	104459.6952
515	104313.6428
516	104292.0935
517	104257.8278
518	104025.8409
519	103741.3654
520	103723.4248
521	103697.0038
522	103460.2325
523	103442.4665
524	103416.1849
525	103207.8336
526	103186.3093
527	102935.2077
528	102590.3656
529	102322.1757
530	102299.481
531	102279.6722
532	102133.0849
533	102114.7105
534	101755.6875
535	101733.0439
536	101475.4652
537	101456.566
538	101411.4711
539	101393.7659
540	101257.2049
541	101027.402
542	100960.6545
543	100752.0099
544	100725.7487
545	100704.3242
546	100685.0906
