iter	RMSE
0	2067941.916
1	2025816.427
2	1987017.557
3	1964068.783
4	1928532.125
5	1883052.585
6	1844145.359
7	1811558.369
8	1767724.578
9	1736318.394
10	1706538.538
11	1679715.324
12	1651647.37
13	1625355.838
14	1597869.016
15	1572564
16	1547586.58
17	1525585.634
18	1490348.708
19	1458078.485
20	1425362.216
21	1403370.061
22	1380994.754
23	1364075.43
24	1343449.004
25	1311654.554
26	1293230.463
27	1267991.998
28	1250369.251
29	1235530.785
30	1220403.657
31	1193887.15
32	1172844.648
33	1160556.532
34	1140726.562
35	1120815.348
36	1098743.9
37	1082666.428
38	1067047.983
39	1048094.931
40	1028587.705
41	1010930.509
42	993233.1915
43	975727.0613
44	958599.9497
45	945040.2783
46	932183.5986
47	920276.2137
48	904700.3509
49	889793.9278
50	871739.6171
51	859905.6773
52	841699.4766
53	828765.3122
54	813035.1022
55	798124.4632
56	788304.024
57	777748.4764
58	768554.0724
59	756142.2969
60	745608.3453
61	735723.0601
62	724779.1825
63	719136.8318
64	707025.6978
65	698495.5155
66	691350.3268
67	683058.2009
68	673731.6109
69	664152.5491
70	652944.1657
71	647729.6742
72	640046.6818
73	634971.7876
74	626489.5175
75	619218.413
76	613106.3649
77	606276.3199
78	602834.0333
79	596390.0833
80	590354.2417
81	585330.7007
82	577248.4156
83	570950.1339
84	562755.1543
85	555806.527
86	547915.8145
87	542339.5085
88	538131.0885
89	531425.3877
90	525435.7214
91	519586.9247
92	516881.5752
93	513301.8347
94	507655.9646
95	502971.6918
96	498747.3438
97	493177.7521
98	488924.626
99	483766.0354
100	478376.5034
101	471875.3066
102	466745.3168
103	462576.394
104	457737.1986
105	452463.4373
106	450109.8891
107	446832.0261
108	444287.375
109	438822.2031
110	435658.246
111	432091.347
112	428498.6843
113	424183.1769
114	420713.8564
115	416408.8872
116	413187.7955
117	409984.0375
118	407135.9274
119	403288.9024
120	399338.7753
121	396735.4579
122	394219.3063
123	390741.0108
124	388199.717
125	384115.0931
126	381044.5178
127	376889.5518
128	374223.934
129	370914.3233
130	366939.7488
131	363642.5313
132	360836.4108
133	357440.4816
134	354937.802
135	351805.9703
136	350889.0315
137	347950.3076
138	345489.661
139	343451.5001
140	341361.9172
141	340118.4575
142	337763.5411
143	335552.7496
144	332208.7879
145	329471.0321
146	327925.0299
147	325461.8177
148	324592.0589
149	322852.5959
150	320637.0848
151	318782.5543
152	316504.027
153	315475.4808
154	313466.7064
155	311978.5553
156	310417.6864
157	309141.322
158	306960.6407
159	304070.0547
160	302105.3269
161	299959.8023
162	298581.4678
163	295728.4789
164	294537.4758
165	292460.1874
166	290321.3684
167	288907.7126
168	287610.4221
169	285746.4921
170	284448.0595
171	283440.6174
172	282906.1503
173	280533.4349
174	280102.0071
175	278527.869
176	276235.107
177	275234.1279
178	272687.6695
179	271062.9967
180	270124.7947
181	267732.18
182	265938.2137
183	264183.7806
184	262516.3503
185	261445.5733
186	260025.06
187	258827.3581
188	256996.1584
189	256507.4915
190	255648.9087
191	253775.4091
192	251387.0934
193	249120.4458
194	247092.0909
195	245594.7208
196	244535.8632
197	243690.7739
198	241991.4874
199	240478.0578
200	239722.4887
201	238222.1247
202	236622.9398
203	236153.672
204	235005.6498
205	233119.1376
206	231755.9916
207	231129.4075
208	229718.7008
209	228502.0059
210	227578.7064
211	226396.1782
212	224429.8919
213	223779.7741
214	222849.8436
215	221780.2929
216	219870.7605
217	218543.3496
218	217416.8314
219	217027.7003
220	215738.2261
221	215117.0977
222	214441.1481
223	213787.3151
224	213313.2418
225	212903.0529
226	212608.0245
227	212366.9784
228	211557.3277
229	210007.6493
230	208660.3145
231	207138.8146
232	206870.5808
233	206365.072
234	204448.3425
235	204211.7424
236	202361.9956
237	201304.9546
238	199902.1428
239	198594.8591
240	198237.5934
241	197883.4911
242	197501.6449
243	196696.4562
244	196446.1212
245	195450.7902
246	195233.9316
247	194486.466
248	193048.3526
249	191647.3333
250	190311.5953
251	189609.3692
252	188321.6858
253	187172.5849
254	187069.9354
255	186866.6504
256	185936.58
257	185596.3745
258	184370.505
259	184267.8297
260	183217.7371
261	182227.6822
262	182147.0514
263	182019.8427
264	181611.8271
265	180455.5763
266	180132.5818
267	179824.6143
268	179659.4944
269	178403.6569
270	177436.5111
271	176976.7759
272	176397.3169
273	176191.1825
274	175849.9039
275	174857.9982
276	174104.6839
277	173975.0936
278	172955.4014
279	172844.4266
280	172743.8064
281	172650.0329
282	171359.1571
283	171223.5826
284	171152.4264
285	170257.4941
286	170186.2423
287	170048.7523
288	168738.6389
289	167615.5183
290	167507.2179
291	166853.957
292	165874.0537
293	165588.3785
294	165507.5094
295	165437.6794
296	164423.4374
297	163432.0396
298	162412.7185
299	162351.336
300	161473.2177
301	161373.2414
302	161275.102
303	161153.9402
304	161097.7256
305	160899.3807
306	160485.5732
307	160421.5174
308	159782.968
309	159107.2954
310	158490.4784
311	158433.4595
312	158135.5681
313	158041.4197
314	157943.2734
315	157100.8898
316	156287.4796
317	155814.9388
318	155756.4416
319	155700.3565
320	155628.5156
321	155572.6104
322	155035.4626
323	154980.2139
324	154413.4961
325	154351.6431
326	153920.1724
327	153586.9511
328	153308.7795
329	152428.1683
330	152327.9846
331	152278.8858
332	152170.6532
333	151671.934
334	151607.2149
335	151390.9827
336	150496.8015
337	150420.4593
338	149837.9017
339	149387.0582
340	148444.5237
341	148388.2933
342	147533.2111
343	146817.9892
344	146313.3948
345	146263.0885
346	146177.638
347	146035.8438
348	145970.2357
349	145854.0527
350	145439.0496
351	145358.7875
352	144478.1872
353	144323.422
354	144280.7388
355	144237.9482
356	144196.1954
357	144153.0327
358	143814.2268
359	143766.4052
360	143679.0228
361	143049.1809
362	142165.7262
363	141526.7371
364	141429.4558
365	141355.9235
366	141204.8539
367	141161.2012
368	141114.5415
369	141062.1397
370	140540.5222
371	140376.0129
372	139666.5095
373	139294.6611
374	139040.7127
375	138999.6683
376	138949.553
377	138315.6596
378	137874.4395
379	137582.7955
380	137510.865
381	137457.5916
382	137087.3496
383	137041.1735
384	137000.9148
385	136745.7649
386	136700.0913
387	136657.8068
388	136575.3931
389	136487.0611
390	136241.4032
391	135437.1012
392	134811.4281
393	134756.9195
394	134714.8994
395	134115.0284
396	133399.4523
397	133281.7021
398	132688.5389
399	132624.3824
400	132178.3349
401	132113.3454
402	131623.7032
403	131588.5381
404	131525.232
405	131486.2788
406	131040.6284
407	130998.2449
408	130285.6427
409	129859.1824
410	129816.239
411	129781.1843
412	129743.0022
413	129688.4176
414	129655.6322
415	129427.4336
416	129394.3759
417	129361.3769
418	129232.6966
419	129182.0968
420	129147.5633
421	128523.5904
422	128479.6667
423	127896.6638
424	127847.5212
425	127478.705
426	127417.0312
427	126791.0602
428	126362.5066
429	126300.9704
430	126179.5564
431	125547.3936
432	125237.1256
433	125172.9269
434	124831.2159
435	124772.2658
436	124441.4518
437	124381.6487
438	123819.5249
439	123344.1673
440	122888.7352
441	122635.5999
442	122605.3752
443	122088.5258
444	122056.3659
445	121743.2257
446	121712.8325
447	121573.1299
448	121519.7988
449	121486.822
450	121051.8939
451	121022.8404
452	120872.0014
453	120834.0888
454	120798.7798
455	120159.8261
456	120080.2979
457	119977.4804
458	119665.5976
459	119630.0768
460	119597.5931
461	119526.9856
462	119495.6165
463	119384.8717
464	119033.5849
465	118988.6164
466	118540.1903
467	118507.7611
468	118233.7295
469	118204.8777
470	117740.5935
471	117708.4986
472	117601.856
473	117573.2215
474	117068.9456
475	116576.7032
476	116027.3597
477	115991.3852
478	115969.5621
479	115862.4279
480	115833.0833
481	115787.9281
482	115757.1453
483	115482.5936
484	114961.9958
485	114931.4883
486	114902.4772
487	114717.7035
488	114329.2112
489	114071.3427
490	114012.5692
491	113983.2987
492	113544.7129
493	113521.1542
494	113479.3186
495	113207.6712
496	112940.5396
497	112890.9874
498	112864.0957
499	112590.7662
500	112296.6393
501	112273.4
502	111928.1202
503	111733.392
504	111711.3279
505	111228.7919
506	111176.0085
507	110702.706
508	110549.7784
509	110285.6703
510	110262.4649
511	110241.88
512	110189.2539
513	109860.0467
514	109840.0934
515	109817.6346
516	109797.1433
517	109646.0849
518	109301.5639
519	108892.0976
520	108870.3111
521	108793.0439
522	108314.3155
523	107857.5607
524	107764.0315
525	107741.4825
526	107457.9323
527	107441.1674
528	107384.6996
529	107168.701
530	106752.9889
531	106661.962
532	106469.5814
533	106207.2215
534	106097.2432
