iter	Passed	Remaining
0	144	144374
1	146	73207
2	148	49450
3	150	37550
4	152	30325
5	154	25554
6	156	22155
7	157	19584
8	159	17604
9	161	16012
10	163	14720
11	165	13646
12	167	12724
13	169	11927
14	171	11237
15	172	10623
16	174	10093
17	176	9627
18	178	9208
19	180	8835
20	182	8503
21	184	8188
22	185	7890
23	187	7625
24	189	7382
25	190	7152
26	192	6947
27	194	6760
28	196	6586
29	198	6424
30	200	6263
31	202	6122
32	204	5994
33	206	5867
34	208	5751
35	210	5627
36	211	5514
37	213	5413
38	215	5309
39	217	5215
40	219	5129
41	221	5044
42	223	4964
43	224	4888
44	226	4814
45	228	4734
46	230	4671
47	231	4600
48	233	4536
49	235	4475
50	237	4419
51	239	4364
52	241	4313
53	243	4263
54	245	4213
55	247	4164
56	248	4117
57	250	4074
58	252	4031
59	254	3990
60	256	3949
61	258	3912
62	260	3872
63	262	3833
64	263	3795
65	265	3761
66	267	3725
67	269	3691
68	271	3658
69	272	3625
70	274	3593
71	276	3561
72	278	3535
73	280	3508
74	282	3485
75	284	3458
76	286	3431
77	288	3405
78	290	3381
79	292	3359
80	294	3340
81	296	3320
82	298	3295
83	300	3272
84	301	3248
85	303	3224
86	305	3203
87	307	3182
88	309	3163
89	310	3144
90	312	3123
91	314	3100
92	316	3081
93	317	3064
94	319	3045
95	321	3029
96	323	3012
97	325	2994
98	327	2977
99	329	2961
100	330	2945
101	332	2931
102	334	2913
103	336	2898
104	338	2884
105	340	2870
106	342	2854
107	343	2839
108	345	2824
109	347	2810
110	349	2802
111	352	2791
112	354	2779
113	356	2768
114	358	2757
115	360	2745
116	362	2735
117	364	2725
118	366	2716
119	369	2709
120	371	2702
121	374	2693
122	376	2687
123	379	2678
124	381	2670
125	383	2661
126	386	2654
127	388	2647
128	390	2637
129	392	2627
130	394	2619
131	397	2611
132	399	2603
133	401	2594
134	403	2586
135	405	2576
136	407	2567
137	409	2559
138	411	2550
139	414	2543
140	416	2536
141	418	2528
142	420	2520
143	422	2513
144	424	2505
145	427	2499
146	429	2490
147	431	2482
148	433	2476
149	435	2469
150	438	2463
151	440	2456
152	442	2449
153	444	2441
154	446	2434
155	448	2427
156	450	2420
157	452	2413
158	455	2407
159	457	2399
160	459	2393
161	461	2387
162	463	2380
163	465	2372
164	467	2364
165	469	2356
166	470	2349
167	472	2342
168	474	2334
169	476	2327
170	478	2320
171	480	2312
172	482	2305
173	483	2297
174	485	2289
175	487	2283
176	489	2276
177	491	2270
178	493	2263
179	495	2257
180	497	2250
181	499	2243
182	500	2236
183	502	2230
184	504	2224
185	506	2217
186	508	2211
187	510	2205
188	512	2198
189	514	2192
190	515	2184
191	517	2178
192	519	2172
193	521	2166
194	523	2159
195	525	2154
196	527	2148
197	528	2142
198	530	2136
199	532	2129
200	534	2124
201	536	2118
202	538	2113
203	540	2107
204	542	2104
205	544	2100
206	546	2094
207	548	2089
208	550	2084
209	552	2079
210	554	2074
211	556	2069
212	558	2064
213	560	2059
214	562	2055
215	564	2050
216	567	2046
217	569	2041
218	571	2037
219	572	2031
220	574	2026
221	576	2020
222	578	2016
223	580	2011
224	582	2007
225	584	2002
226	586	1998
227	589	1994
228	591	1990
229	592	1984
230	594	1979
231	596	1974
232	598	1969
233	600	1964
234	602	1959
235	603	1954
236	605	1949
237	607	1945
238	609	1940
239	611	1935
240	613	1930
241	614	1926
242	616	1920
243	618	1916
244	620	1911
245	622	1907
246	624	1902
247	625	1897
248	627	1892
249	629	1888
250	631	1883
251	633	1879
252	634	1874
253	636	1870
254	638	1866
255	640	1862
256	642	1857
257	644	1853
258	646	1848
259	647	1844
260	649	1840
261	651	1836
262	653	1832
263	655	1828
264	657	1824
265	659	1819
266	661	1815
267	663	1811
268	665	1808
269	667	1805
270	669	1802
271	672	1799
272	674	1796
273	676	1793
274	679	1791
275	681	1788
276	684	1786
277	686	1783
278	689	1781
279	690	1776
280	693	1773
281	695	1770
282	697	1766
283	699	1762
284	701	1759
285	703	1756
286	705	1752
287	707	1748
288	709	1745
289	711	1741
290	713	1739
291	716	1736
292	718	1733
293	746	1791
294	748	1788
295	750	1784
296	752	1780
297	754	1777
298	756	1773
299	758	1770
300	765	1778
301	767	1774
302	770	1771
303	772	1767
304	774	1764
